,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,7500.0,0.0,H,T,Lose,0,1
1,1,2500.0,1875.0,0.5,H,H,Win,1,1
2,2,4375.0,3281.25,0.7,H,H,Win,2,1
3,3,7656.25,5742.1875,0.8,H,H,Win,3,1
4,4,13398.4375,10048.828125,0.8,T,H,Lose,4,1
5,5,3349.609375,2512.20703125,0.7,T,T,Win,4,2
6,6,5861.81640625,4396.3623046875,0.7,T,H,Lose,5,2
7,7,1465.4541015625,1099.090576171875,0.8,T,H,Lose,6,2
8,8,366.363525390625,274.77264404296875,0.8,T,H,Lose,7,2
9,9,91.59088134765625,68.69316101074219,0.7,T,T,Win,7,3
10,10,160.28404235839844,120.21303176879883,0.7,T,H,Lose,8,3
11,11,40.07101058959961,30.053257942199707,0.8,T,H,Lose,9,3
12,12,10.017752647399902,7.513314485549927,0.7,T,T,Win,9,4
13,13,17.53106713294983,13.148300349712372,0.7,T,H,Lose,10,4
14,14,4.382766783237457,3.287075087428093,0.7,T,T,Win,10,5
15,15,7.66984187066555,5.752381402999163,0.7,T,H,Lose,11,5
16,16,1.9174604676663876,1.4380953507497907,0.6,T,T,Win,11,6
17,17,3.3555558184161782,2.5166668638121337,0.6,T,T,Win,11,7
18,18,5.872222682228312,4.404167011671234,0.6,T,H,Lose,12,7
19,19,1.468055670557078,1.1010417529178085,0.7,T,H,Lose,13,7
20,20,0.3670139176392695,0.2752604382294521,0.6,T,T,Win,13,8
21,21,0.6422743558687216,0.4817057669015412,0.6,T,T,Win,13,9
22,22,1.1239801227702628,0.8429850920776971,0.6,T,H,Lose,14,9
23,23,0.2809950306925657,0.21074627301942428,0.6,T,H,Lose,15,9
24,24,0.07024875767314143,0.05268656825485607,0.6,T,H,Lose,16,9
25,25,0.017562189418285357,0.013171642063714017,0.6,T,T,Win,16,10
