,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,1000.0,0.0,H,T,Lose,0,1
1,1,9000.0,900.0,0.5,H,H,Win,1,1
2,2,9900.0,990.0,0.3,H,T,Lose,1,2
3,3,8910.0,891.0,0.5,H,H,Win,2,2
4,4,9801.0,980.1,0.6,H,H,Win,3,2
5,5,10781.1,1078.1100000000001,0.5,H,T,Lose,3,3
6,6,9702.99,970.299,0.6,H,H,Win,4,3
7,7,10673.289,1067.3289000000002,0.6,H,H,Win,5,3
8,8,11740.617900000001,1174.0617900000002,0.6,T,T,Win,5,4
9,9,12914.67969,1291.4679690000003,0.5,H,T,Lose,5,5
10,10,11623.211721,1162.3211721,0.5,H,H,Win,6,5
11,11,12785.5328931,1278.55328931,0.6,H,H,Win,7,5
12,12,14064.086182410001,1406.408618241,0.5,H,T,Lose,7,6
13,13,12657.677564169,1265.7677564169,0.5,H,T,Lose,7,7
14,14,11391.9098077521,1139.19098077521,0.5,H,H,Win,8,7
15,15,12531.10078852731,1253.110078852731,0.5,H,T,Lose,8,8
16,16,11277.99070967458,1127.799070967458,0.5,H,T,Lose,8,9
17,17,10150.191638707121,1015.0191638707122,0.5,H,H,Win,9,9
18,18,11165.210802577834,1116.5210802577835,0.5,H,H,Win,10,9
19,19,12281.731882835618,1228.1731882835618,0.5,H,T,Lose,10,10
20,20,11053.558694552057,1105.3558694552057,0.5,H,H,Win,11,10
21,21,12158.914564007264,1215.8914564007264,0.5,H,H,Win,12,10
22,22,13374.80602040799,1337.480602040799,0.6,H,H,Win,13,10
23,23,14712.28662244879,1471.2286622448792,0.6,H,H,Win,14,10
24,24,16183.515284693669,1618.351528469367,0.6,T,T,Win,14,11
25,25,17801.866813163037,1780.1866813163037,0.6,H,H,Win,15,11
