,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,500.0,0.0,H,T,Lose,0,1
1,1,9500.0,475.0,0.5,H,H,Win,1,1
2,2,9975.0,498.75,0.3,H,T,Lose,1,2
3,3,9476.25,473.8125,0.5,H,H,Win,2,2
4,4,9950.0625,497.503125,0.6,H,H,Win,3,2
5,5,10447.565625,522.37828125,0.5,H,T,Lose,3,3
6,6,9925.18734375,496.2593671875,0.4,H,T,Lose,3,4
7,7,9428.9279765625,471.446398828125,0.5,H,H,Win,4,4
8,8,9900.374375390624,495.01871876953123,0.6,H,H,Win,5,4
9,9,10395.393094160156,519.7696547080078,0.6,H,H,Win,6,4
10,10,10915.162748868164,545.7581374434083,0.5,H,T,Lose,6,5
11,11,10369.404611424756,518.4702305712378,0.6,H,H,Win,7,5
12,12,10887.874841995994,544.3937420997997,0.6,H,H,Win,8,5
13,13,11432.268584095793,571.6134292047897,0.6,T,T,Win,8,6
14,14,12003.882013300583,600.1941006650292,0.6,H,H,Win,9,6
15,15,12604.076113965612,630.2038056982806,0.6,T,T,Win,9,7
16,16,13234.279919663892,661.7139959831946,0.6,H,H,Win,10,7
17,17,13895.993915647086,694.7996957823543,0.6,T,T,Win,10,8
18,18,14590.79361142944,729.5396805714721,0.5,H,T,Lose,10,9
19,19,13861.253930857969,693.0626965428985,0.5,H,T,Lose,10,10
20,20,13168.19123431507,658.4095617157536,0.5,H,H,Win,11,10
21,21,13826.600796030823,691.3300398015413,0.5,H,T,Lose,11,11
22,22,13135.270756229282,656.7635378114642,0.5,H,T,Lose,11,12
23,23,12478.507218417817,623.9253609208909,0.5,H,T,Lose,11,13
24,24,11854.581857496927,592.7290928748464,0.4,H,T,Lose,11,14
25,25,11261.852764622081,563.092638231104,0.4,H,T,Lose,11,15
