,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,5000.0,1.0,H,H,Win,1,0
1,1,15000.0,7500.0,0.5,H,T,Lose,1,1
2,2,7500.0,3750.0,0.3,H,T,Lose,1,2
3,3,3750.0,1875.0,0.2,H,T,Lose,1,3
4,4,1875.0,937.5,0.4,H,H,Win,2,3
5,5,2812.5,1406.25,0.5,H,H,Win,3,3
6,6,4218.75,2109.375,0.4,H,T,Lose,3,4
7,7,2109.375,1054.6875,0.4,H,T,Lose,3,5
8,8,1054.6875,527.34375,0.4,H,H,Win,4,5
9,9,1582.03125,791.015625,0.5,H,H,Win,5,5
10,10,2373.046875,1186.5234375,0.5,H,H,Win,6,5
11,11,3559.5703125,1779.78515625,0.5,H,T,Lose,6,6
12,12,1779.78515625,889.892578125,0.5,H,H,Win,7,6
13,13,2669.677734375,1334.8388671875,0.5,H,T,Lose,7,7
14,14,1334.8388671875,667.41943359375,0.5,H,T,Lose,7,8
15,15,667.41943359375,333.709716796875,0.5,H,H,Win,8,8
16,16,1001.129150390625,500.5645751953125,0.5,H,T,Lose,8,9
17,17,500.5645751953125,250.28228759765625,0.5,H,H,Win,9,9
18,18,750.8468627929688,375.4234313964844,0.5,H,T,Lose,9,10
19,19,375.4234313964844,187.7117156982422,0.5,H,T,Lose,9,11
20,20,187.7117156982422,93.8558578491211,0.4,H,T,Lose,9,12
21,21,93.8558578491211,46.92792892456055,0.4,H,T,Lose,9,13
22,22,46.92792892456055,23.463964462280273,0.4,H,H,Win,10,13
23,23,70.39189338684082,35.19594669342041,0.5,H,H,Win,11,13
24,24,105.58784008026123,52.793920040130615,0.4,H,T,Lose,11,14
25,25,52.793920040130615,26.396960020065308,0.4,H,T,Lose,11,15
