,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,7500.0,1.0,H,H,Win,1,0
1,1,17500.0,13125.0,0.5,H,T,Lose,1,1
2,2,4375.0,3281.25,0.3,H,T,Lose,1,2
3,3,1093.75,820.3125,0.5,H,H,Win,2,2
4,4,1914.0625,1435.546875,0.4,H,T,Lose,2,3
5,5,478.515625,358.88671875,0.3,H,T,Lose,2,4
6,6,119.62890625,89.7216796875,0.3,H,T,Lose,2,5
7,7,29.9072265625,22.430419921875,0.2,H,T,Lose,2,6
8,8,7.476806640625,5.60760498046875,0.3,H,H,Win,3,6
9,9,13.08441162109375,9.813308715820312,0.3,H,T,Lose,3,7
10,10,3.2711029052734375,2.453327178955078,0.4,H,H,Win,4,7
11,11,5.724430084228516,4.293322563171387,0.3,H,T,Lose,4,8
12,12,1.431107521057129,1.0733306407928467,0.4,H,H,Win,5,8
13,13,2.5044381618499756,1.8783286213874817,0.4,H,H,Win,6,8
14,14,4.382766783237457,3.287075087428093,0.5,H,H,Win,7,8
15,15,7.66984187066555,5.752381402999163,0.4,H,T,Lose,7,9
16,16,1.9174604676663876,1.4380953507497907,0.4,H,T,Lose,7,10
17,17,0.4793651169165969,0.35952383768744767,0.4,H,H,Win,8,10
18,18,0.8388889546040446,0.6291667159530334,0.4,H,T,Lose,8,11
19,19,0.20972223865101114,0.15729167898825835,0.5,H,H,Win,9,11
20,20,0.3670139176392695,0.2752604382294521,0.5,H,H,Win,10,11
21,21,0.6422743558687216,0.4817057669015412,0.5,H,T,Lose,10,12
22,22,0.1605685889671804,0.1204264417253853,0.4,H,T,Lose,10,13
23,23,0.0401421472417951,0.030106610431346326,0.5,H,H,Win,11,13
24,24,0.07024875767314143,0.05268656825485607,0.5,H,H,Win,12,13
25,25,0.1229353259279975,0.09220149444599812,0.5,H,T,Lose,12,14
26,26,0.030733831481999374,0.02305037361149953,0.4,H,T,Lose,12,15
27,27,0.0076834578704998435,0.005762593402874883,0.5,H,H,Win,13,15
28,28,0.013446051273374726,0.010084538455031045,0.5,H,H,Win,14,15
29,29,0.02353058972840577,0.017647942296304328,0.5,H,T,Lose,14,16
30,30,0.005882647432101443,0.004411985574076082,0.5,H,H,Win,15,16
31,31,0.010294633006177525,0.0077209747546331435,0.5,H,T,Lose,15,17
32,32,0.002573658251544381,0.0019302436886582859,0.5,H,H,Win,16,17
33,33,0.004503901940202667,0.003377926455152,0.5,H,H,Win,17,17
34,34,0.007881828395354666,0.005911371296516,0.5,H,H,Win,18,17
35,35,0.013793199691870666,0.010344899768903,0.5,H,T,Lose,18,18
36,36,0.003448299922967666,0.0025862249422257495,0.5,H,H,Win,19,18
37,37,0.0060345248651934155,0.004525893648895061,0.5,H,H,Win,20,18
38,38,0.010560418514088477,0.007920313885566358,0.5,H,H,Win,21,18
39,39,0.018480732399654837,0.013860549299741128,0.6,H,H,Win,22,18
40,40,0.032341281699395964,0.024255961274546975,0.6,H,H,Win,23,18
41,41,0.05659724297394294,0.0424479322304572,0.5,H,T,Lose,23,19
42,42,0.014149310743485737,0.010611983057614302,0.5,H,T,Lose,23,20
43,43,0.003537327685871434,0.0026529957644035756,0.5,H,H,Win,24,20
44,44,0.006190323450275009,0.004642742587706257,0.5,H,T,Lose,24,21
45,45,0.0015475808625687523,0.0011606856469265642,0.5,H,T,Lose,24,22
46,46,0.0003868952156421881,0.00029017141173164106,0.5,H,H,Win,25,22
47,47,0.0006770666273738291,0.0005077999705303719,0.5,H,H,Win,26,22
48,48,0.001184866597904201,0.0008886499484281508,0.5,H,T,Lose,26,23
49,49,0.0002962166494760503,0.0002221624871070377,0.5,H,T,Lose,26,24
50,50,7.405416236901257e-05,5.554062177675943e-05,0.5,H,T,Lose,26,25
51,51,1.8513540592253142e-05,1.3885155444189857e-05,0.5,H,T,Lose,26,26
52,52,4.6283851480632856e-06,3.471288861047464e-06,0.5,H,T,Lose,26,27
53,53,1.1570962870158214e-06,8.67822215261866e-07,0.5,H,T,Lose,26,28
54,54,2.8927407175395535e-07,2.169555538154665e-07,0.5,H,T,Lose,26,29
55,55,7.231851793848884e-08,5.423888845386663e-08,0.5,H,H,Win,27,29
56,56,1.2655740639235546e-07,9.49180547942666e-08,0.5,H,T,Lose,27,30
57,57,3.1639351598088865e-08,2.372951369856665e-08,0.5,H,H,Win,28,30
58,58,5.536886529665551e-08,4.1526648972491635e-08,0.5,H,H,Win,29,30
59,59,9.689551426914715e-08,7.267163570186036e-08,0.5,H,H,Win,30,30
60,60,1.695671499710075e-07,1.2717536247825562e-07,0.5,H,T,Lose,30,31
61,61,4.239178749275188e-08,3.179384061956391e-08,0.5,H,T,Lose,30,32
