,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,100.0,1.0,H,H,Win,1,0
1,1,10100.0,101.0,0.5,H,T,Lose,1,1
2,2,9999.0,99.99000000000001,0.7,H,H,Win,2,1
3,3,10098.99,100.9899,0.8,H,H,Win,3,1
4,4,10199.9799,101.99979900000001,0.8,T,H,Lose,4,1
5,5,10097.980101000001,100.97980101000002,0.8,T,H,Lose,5,1
6,6,9997.00029999,99.9700029999,0.9,T,H,Lose,6,1
7,7,9897.0302969901,98.97030296990101,0.8,T,T,Win,6,2
8,8,9996.000599960002,99.96000599960001,0.8,T,H,Lose,7,2
9,9,9896.040593960402,98.96040593960403,0.7,T,T,Win,7,3
10,10,9995.000999900007,99.95000999900007,0.7,T,H,Lose,8,3
11,11,9895.050989901007,98.95050989901007,0.8,T,H,Lose,9,3
12,12,9796.100480001996,97.96100480001996,0.8,T,H,Lose,10,3
13,13,9698.139475201977,96.98139475201977,0.7,T,T,Win,10,4
14,14,9795.120869953997,97.95120869953996,0.7,T,H,Lose,11,4
15,15,9697.169661254457,96.97169661254456,0.8,T,H,Lose,12,4
16,16,9600.197964641911,96.00197964641912,0.7,T,T,Win,12,5
17,17,9696.19994428833,96.9619994428833,0.7,T,H,Lose,13,5
18,18,9599.237944845447,95.99237944845447,0.7,T,T,Win,13,6
19,19,9695.230324293902,96.95230324293902,0.7,T,H,Lose,14,6
20,20,9598.278021050963,95.98278021050963,0.7,T,T,Win,14,7
21,21,9694.260801261473,96.94260801261473,0.7,T,H,Lose,15,7
22,22,9597.318193248859,95.97318193248859,0.7,T,H,Lose,16,7
23,23,9501.34501131637,95.01345011316371,0.7,T,H,Lose,17,7
24,24,9406.331561203207,94.06331561203207,0.7,T,T,Win,17,8
25,25,9500.39487681524,95.00394876815241,0.7,T,H,Lose,18,8
26,26,9405.390928047089,94.05390928047089,0.7,T,H,Lose,19,8
27,27,9311.337018766619,93.11337018766619,0.7,T,H,Lose,20,8
28,28,9218.223648578953,92.18223648578953,0.7,T,T,Win,20,9
29,29,9310.405885064742,93.10405885064742,0.7,T,T,Win,20,10
30,30,9403.50994391539,94.0350994391539,0.7,T,H,Lose,21,10
31,31,9309.474844476235,93.09474844476236,0.7,T,T,Win,21,11
32,32,9402.569592920998,94.02569592920997,0.6,T,T,Win,21,12
