,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,5000.0,1.0,H,H,Win,1,0
1,1,15000.0,7500.0,1.0,H,H,Win,2,0
2,2,22500.0,11250.0,0.7,T,T,Win,2,1
3,3,33750.0,16875.0,0.5,H,T,Lose,2,2
4,4,16875.0,8437.5,0.6,H,H,Win,3,2
5,5,25312.5,12656.25,0.7,H,H,Win,4,2
6,6,37968.75,18984.375,0.6,T,T,Win,4,3
7,7,56953.125,28476.5625,0.5,H,T,Lose,4,4
8,8,28476.5625,14238.28125,0.4,H,T,Lose,4,5
9,9,14238.28125,7119.140625,0.4,H,T,Lose,4,6
10,10,7119.140625,3559.5703125,0.4,H,T,Lose,4,7
11,11,3559.5703125,1779.78515625,0.4,H,H,Win,5,7
12,12,5339.35546875,2669.677734375,0.4,H,T,Lose,5,8
13,13,2669.677734375,1334.8388671875,0.4,H,T,Lose,5,9
14,14,1334.8388671875,667.41943359375,0.3,H,T,Lose,5,10
15,15,667.41943359375,333.709716796875,0.4,H,H,Win,6,10
16,16,1001.129150390625,500.5645751953125,0.4,H,T,Lose,6,11
17,17,500.5645751953125,250.28228759765625,0.3,H,T,Lose,6,12
18,18,250.28228759765625,125.14114379882812,0.4,H,H,Win,7,12
19,19,375.4234313964844,187.7117156982422,0.4,H,H,Win,8,12
20,20,563.1351470947266,281.5675735473633,0.4,H,T,Lose,8,13
21,21,281.5675735473633,140.78378677368164,0.4,H,H,Win,9,13
22,22,422.3513603210449,211.17568016052246,0.4,H,T,Lose,9,14
23,23,211.17568016052246,105.58784008026123,0.4,H,T,Lose,9,15
24,24,105.58784008026123,52.793920040130615,0.4,H,T,Lose,9,16
25,25,52.793920040130615,26.396960020065308,0.4,H,H,Win,10,16
26,26,79.19088006019592,39.59544003009796,0.4,H,H,Win,11,16
27,27,118.78632009029388,59.39316004514694,0.4,H,T,Lose,11,17
28,28,59.39316004514694,29.69658002257347,0.4,H,H,Win,12,17
29,29,89.08974006772041,44.54487003386021,0.4,H,H,Win,13,17
30,30,133.63461010158062,66.81730505079031,0.5,H,H,Win,14,17
31,31,200.45191515237093,100.22595757618546,0.5,H,H,Win,15,17
32,32,300.6778727285564,150.3389363642782,0.5,H,H,Win,16,17
33,33,451.0168090928346,225.5084045464173,0.5,H,H,Win,17,17
34,34,676.5252136392519,338.26260681962594,0.5,H,T,Lose,17,18
35,35,338.26260681962594,169.13130340981297,0.5,H,T,Lose,17,19
