,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,1000.0,0.0,H,T,Lose,0,1
1,1,9000.0,900.0,0.0,H,T,Lose,0,2
2,2,8100.0,810.0,0.3,H,H,Win,1,2
3,3,8910.0,891.0,0.2,H,T,Lose,1,3
4,4,8019.0,801.9000000000001,0.2,H,T,Lose,1,4
5,5,7217.1,721.71,0.3,H,H,Win,2,4
6,6,7938.81,793.8810000000001,0.3,H,T,Lose,2,5
7,7,7144.929,714.4929000000001,0.4,H,H,Win,3,5
8,8,7859.4219,785.9421900000001,0.4,H,H,Win,4,5
9,9,8645.364090000001,864.5364090000002,0.5,H,H,Win,5,5
10,10,9509.900499000001,950.9900499000001,0.5,H,H,Win,6,5
11,11,10460.8905489,1046.0890548900002,0.6,H,H,Win,7,5
12,12,11506.979603790001,1150.6979603790003,0.5,H,T,Lose,7,6
13,13,10356.281643411001,1035.6281643411,0.6,H,H,Win,8,6
14,14,11391.909807752101,1139.1909807752102,0.5,H,T,Lose,8,7
15,15,10252.71882697689,1025.271882697689,0.6,H,H,Win,9,7
16,16,11277.99070967458,1127.799070967458,0.6,H,H,Win,10,7
17,17,12405.789780642037,1240.5789780642037,0.6,T,H,Lose,11,7
18,18,11165.210802577833,1116.5210802577833,0.6,T,T,Win,11,8
19,19,12281.731882835616,1228.1731882835618,0.6,T,T,Win,11,9
20,20,13509.905071119178,1350.9905071119179,0.6,H,H,Win,12,9
21,21,14860.895578231095,1486.0895578231095,0.5,H,T,Lose,12,10
22,22,13374.806020407985,1337.4806020407987,0.5,H,T,Lose,12,11
23,23,12037.325418367185,1203.7325418367186,0.5,H,T,Lose,12,12
24,24,10833.592876530467,1083.3592876530467,0.5,H,T,Lose,12,13
25,25,9750.23358887742,975.023358887742,0.5,H,H,Win,13,13
26,26,10725.256947765161,1072.5256947765163,0.5,H,H,Win,14,13
27,27,11797.782642541677,1179.7782642541677,0.5,H,H,Win,15,13
28,28,12977.560906795845,1297.7560906795845,0.5,H,T,Lose,15,14
29,29,11679.80481611626,1167.9804816116261,0.5,H,T,Lose,15,15
30,30,10511.824334504634,1051.1824334504633,0.5,H,H,Win,16,15
31,31,11563.006767955098,1156.3006767955098,0.5,H,T,Lose,16,16
32,32,10406.706091159587,1040.6706091159588,0.5,H,H,Win,17,16
33,33,11447.376700275547,1144.7376700275547,0.5,H,T,Lose,17,17
34,34,10302.639030247992,1030.2639030247992,0.5,H,T,Lose,17,18
35,35,9272.375127223193,927.2375127223194,0.5,H,T,Lose,17,19
36,36,8345.137614500874,834.5137614500875,0.5,H,H,Win,18,19
37,37,9179.651375950962,917.9651375950962,0.5,H,T,Lose,18,20
38,38,8261.686238355865,826.1686238355866,0.5,H,T,Lose,18,21
39,39,7435.517614520279,743.5517614520279,0.5,H,T,Lose,18,22
40,40,6691.965853068251,669.1965853068251,0.5,H,H,Win,19,22
41,41,7361.162438375076,736.1162438375077,0.5,H,T,Lose,19,23
42,42,6625.046194537568,662.5046194537568,0.4,H,T,Lose,19,24
43,43,5962.541575083811,596.2541575083811,0.4,H,T,Lose,19,25
44,44,5366.28741757543,536.628741757543,0.4,H,T,Lose,19,26
45,45,4829.658675817886,482.96586758178864,0.4,H,H,Win,20,26
46,46,5312.6245433996755,531.2624543399676,0.4,H,H,Win,21,26
47,47,5843.886997739643,584.3886997739644,0.4,H,T,Lose,21,27
48,48,5259.498297965679,525.9498297965679,0.4,H,H,Win,22,27
49,49,5785.448127762247,578.5448127762247,0.5,H,H,Win,23,27
50,50,6363.992940538472,636.3992940538473,0.5,H,T,Lose,23,28
51,51,5727.5936464846245,572.7593646484625,0.5,H,H,Win,24,28
52,52,6300.353011133087,630.0353011133088,0.5,H,T,Lose,24,29
53,53,5670.317710019779,567.031771001978,0.5,H,H,Win,25,29
54,54,6237.349481021757,623.7349481021757,0.5,H,T,Lose,25,30
55,55,5613.6145329195815,561.3614532919581,0.4,H,T,Lose,25,31
56,56,5052.253079627623,505.2253079627624,0.4,H,T,Lose,25,32
57,57,4547.027771664861,454.7027771664861,0.4,H,T,Lose,25,33
58,58,4092.3249944983745,409.23249944983746,0.4,H,H,Win,26,33
59,59,4501.557493948212,450.1557493948212,0.5,H,H,Win,27,33
60,60,4951.713243343033,495.17132433430334,0.4,H,T,Lose,27,34
61,61,4456.5419190087305,445.65419190087306,0.4,H,T,Lose,27,35
62,62,4010.8877271078572,401.08877271078575,0.4,H,H,Win,28,35
63,63,4411.976499818643,441.1976499818643,0.4,H,T,Lose,28,36
64,64,3970.7788498367786,397.0778849836779,0.4,H,H,Win,29,36
65,65,4367.856734820456,436.78567348204564,0.5,H,H,Win,30,36
66,66,4804.642408302501,480.46424083025016,0.5,H,H,Win,31,36
67,67,5285.106649132751,528.5106649132751,0.5,H,H,Win,32,36
68,68,5813.617314046026,581.3617314046027,0.5,H,H,Win,33,36
69,69,6394.979045450628,639.4979045450629,0.5,H,T,Lose,33,37
70,70,5755.481140905566,575.5481140905566,0.5,H,T,Lose,33,38
71,71,5179.933026815009,517.993302681501,0.5,H,T,Lose,33,39
72,72,4661.939724133508,466.1939724133508,0.5,H,H,Win,34,39
73,73,5128.133696546859,512.813369654686,0.5,H,T,Lose,34,40
74,74,4615.320326892173,461.5320326892174,0.5,H,H,Win,35,40
75,75,5076.85235958139,507.68523595813906,0.5,H,T,Lose,35,41
76,76,4569.167123623251,456.91671236232514,0.5,H,T,Lose,35,42
77,77,4112.250411260926,411.2250411260926,0.4,H,T,Lose,35,43
78,78,3701.0253701348333,370.10253701348336,0.4,H,T,Lose,35,44
79,79,3330.92283312135,333.092283312135,0.4,H,T,Lose,35,45
80,80,2997.830549809215,299.7830549809215,0.4,H,T,Lose,35,46
81,81,2698.0474948282936,269.8047494828294,0.4,H,T,Lose,35,47
82,82,2428.2427453454643,242.82427453454645,0.4,H,H,Win,36,47
83,83,2671.067019880011,267.1067019880011,0.4,H,H,Win,37,47
84,84,2938.173721868012,293.8173721868012,0.4,H,T,Lose,37,48
85,85,2644.3563496812108,264.43563496812106,0.4,H,T,Lose,37,49
86,86,2379.9207147130896,237.99207147130898,0.4,H,H,Win,38,49
87,87,2617.9127861843986,261.7912786184399,0.4,H,T,Lose,38,50
88,88,2356.121507565959,235.6121507565959,0.4,H,H,Win,39,50
89,89,2591.7336583225547,259.17336583225546,0.4,H,T,Lose,39,51
90,90,2332.560292490299,233.25602924902992,0.4,H,H,Win,40,51
91,91,2565.816321739329,256.5816321739329,0.4,H,H,Win,41,51
92,92,2822.397953913262,282.2397953913262,0.4,H,T,Lose,41,52
93,93,2540.1581585219355,254.01581585219355,0.4,H,T,Lose,41,53
94,94,2286.142342669742,228.61423426697422,0.4,H,H,Win,42,53
95,95,2514.756576936716,251.47565769367162,0.4,H,H,Win,43,53
96,96,2766.2322346303877,276.62322346303876,0.4,H,T,Lose,43,54
97,97,2489.609011167349,248.9609011167349,0.4,H,T,Lose,43,55
98,98,2240.648110050614,224.06481100506142,0.4,H,H,Win,44,55
99,99,2464.7129210556755,246.47129210556756,0.5,H,H,Win,45,55
100,100,2711.184213161243,271.1184213161243,0.4,H,T,Lose,45,56
101,101,2440.065791845119,244.0065791845119,0.5,H,H,Win,46,56
102,102,2684.0723710296306,268.40723710296305,0.4,H,T,Lose,46,57
103,103,2415.6651339266677,241.5665133926668,0.4,H,T,Lose,46,58
104,104,2174.098620534001,217.4098620534001,0.4,H,H,Win,47,58
105,105,2391.508482587401,239.1508482587401,0.4,H,T,Lose,47,59
106,106,2152.357634328661,215.2357634328661,0.4,H,T,Lose,47,60
107,107,1937.1218708957947,193.7121870895795,0.4,H,T,Lose,47,61
108,108,1743.4096838062153,174.34096838062155,0.4,H,T,Lose,47,62
109,109,1569.0687154255938,156.9068715425594,0.4,H,H,Win,48,62
110,110,1725.9755869681533,172.59755869681533,0.4,H,T,Lose,48,63
111,111,1553.3780282713378,155.3378028271338,0.4,H,T,Lose,48,64
112,112,1398.040225444204,139.8040225444204,0.4,H,T,Lose,48,65
113,113,1258.2362028997836,125.82362028997836,0.4,H,H,Win,49,65
114,114,1384.059823189762,138.4059823189762,0.4,H,H,Win,50,65
115,115,1522.4658055087382,152.24658055087383,0.4,H,T,Lose,50,66
116,116,1370.2192249578643,137.02192249578644,0.4,H,T,Lose,50,67
117,117,1233.197302462078,123.3197302462078,0.4,H,T,Lose,50,68
118,118,1109.87757221587,110.987757221587,0.4,H,H,Win,51,68
119,119,1220.8653294374571,122.08653294374572,0.4,H,H,Win,52,68
120,120,1342.9518623812028,134.2951862381203,0.4,H,H,Win,53,68
121,121,1477.247048619323,147.7247048619323,0.4,H,T,Lose,53,69
122,122,1329.522343757391,132.9522343757391,0.4,H,H,Win,54,69
123,123,1462.47457813313,146.24745781331302,0.4,H,H,Win,55,69
124,124,1608.7220359464432,160.87220359464433,0.4,H,T,Lose,55,70
125,125,1447.8498323517988,144.78498323517988,0.4,H,T,Lose,55,71
126,126,1303.064849116619,130.3064849116619,0.4,H,H,Win,56,71
127,127,1433.371334028281,143.3371334028281,0.4,H,H,Win,57,71
128,128,1576.708467431109,157.67084674311093,0.4,H,T,Lose,57,72
129,129,1419.0376206879982,141.90376206879984,0.4,H,H,Win,58,72
130,130,1560.941382756798,156.09413827567982,0.4,H,T,Lose,58,73
131,131,1404.8472444811182,140.48472444811182,0.4,H,H,Win,59,73
132,132,1545.33196892923,154.533196892923,0.5,H,H,Win,60,73
133,133,1699.865165822153,169.9865165822153,0.4,H,T,Lose,60,74
134,134,1529.8786492399377,152.98786492399378,0.4,H,T,Lose,60,75
135,135,1376.8907843159438,137.6890784315944,0.4,H,T,Lose,60,76
136,136,1239.2017058843494,123.92017058843494,0.4,H,H,Win,61,76
137,137,1363.1218764727844,136.31218764727845,0.4,H,H,Win,62,76
138,138,1499.4340641200629,149.94340641200628,0.5,H,H,Win,63,76
139,139,1649.377470532069,164.93774705320692,0.5,H,T,Lose,63,77
140,140,1484.439723478862,148.44397234788622,0.4,H,T,Lose,63,78
