,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,2500.0,1.0,H,H,Win,1,0
1,1,12500.0,3125.0,1.0,H,H,Win,2,0
2,2,15625.0,3906.25,0.7,T,T,Win,2,1
3,3,19531.25,4882.8125,0.5,H,T,Lose,2,2
4,4,14648.4375,3662.109375,0.6,H,H,Win,3,2
5,5,18310.546875,4577.63671875,0.7,H,H,Win,4,2
6,6,22888.18359375,5722.0458984375,0.6,T,T,Win,4,3
7,7,28610.2294921875,7152.557373046875,0.6,H,H,Win,5,3
8,8,35762.786865234375,8940.696716308594,0.7,T,H,Lose,6,3
9,9,26822.09014892578,6705.522537231445,0.6,T,T,Win,6,4
10,10,33527.61268615723,8381.903171539307,0.5,H,T,Lose,6,5
11,11,25145.70951461792,6286.42737865448,0.6,H,H,Win,7,5
12,12,31432.1368932724,7858.0342233181,0.6,H,H,Win,8,5
13,13,39290.1711165905,9822.542779147625,0.6,T,H,Lose,9,5
14,14,29467.628337442875,7366.907084360719,0.6,T,T,Win,9,6
15,15,36834.53542180359,9208.633855450898,0.6,T,T,Win,9,7
16,16,46043.16927725449,11510.792319313623,0.5,H,T,Lose,9,8
17,17,34532.37695794087,8633.094239485217,0.6,H,H,Win,10,8
18,18,43165.471197426086,10791.367799356522,0.5,H,T,Lose,10,9
19,19,32374.103398069565,8093.525849517391,0.6,H,H,Win,11,9
20,20,40467.629247586956,10116.907311896739,0.5,H,T,Lose,11,10
21,21,30350.721935690217,7587.680483922554,0.5,H,T,Lose,11,11
22,22,22763.04145176766,5690.760362941915,0.5,H,H,Win,12,11
23,23,28453.80181470958,7113.450453677395,0.5,H,H,Win,13,11
24,24,35567.252268386976,8891.813067096744,0.6,H,H,Win,14,11
25,25,44459.06533548372,11114.76633387093,0.6,H,H,Win,15,11
26,26,55573.83166935465,13893.457917338663,0.6,T,T,Win,15,12
27,27,69467.28958669331,17366.822396673328,0.5,H,T,Lose,15,13
28,28,52100.46719001998,13025.116797504996,0.6,H,H,Win,16,13
29,29,65125.58398752498,16281.395996881245,0.6,H,H,Win,17,13
30,30,81406.97998440622,20351.744996101555,0.6,H,H,Win,18,13
31,31,101758.72498050777,25439.681245126943,0.6,T,T,Win,18,14
32,32,127198.40622563471,31799.601556408677,0.6,H,H,Win,19,14
33,33,158998.0077820434,39749.50194551085,0.6,T,H,Lose,20,14
34,34,119248.50583653254,29812.126459133135,0.6,T,H,Lose,21,14
35,35,89436.3793773994,22359.09484434985,0.6,T,T,Win,21,15
36,36,111795.47422174925,27948.86855543731,0.6,T,T,Win,21,16
37,37,139744.34277718657,34936.08569429664,0.6,T,H,Lose,22,16
38,38,104808.25708288993,26202.064270722483,0.6,T,H,Lose,23,16
39,39,78606.19281216746,19651.548203041864,0.6,T,H,Lose,24,16
40,40,58954.64460912559,14738.661152281398,0.6,T,H,Lose,25,16
41,41,44215.983456844195,11053.995864211049,0.6,T,T,Win,25,17
42,42,55269.979321055245,13817.494830263811,0.6,T,T,Win,25,18
43,43,69087.47415131905,17271.868537829763,0.6,T,T,Win,25,19
44,44,86359.34268914882,21589.835672287205,0.6,T,T,Win,25,20
45,45,107949.17836143603,26987.294590359008,0.6,H,H,Win,26,20
46,46,134936.47295179503,33734.11823794876,0.6,T,H,Lose,27,20
47,47,101202.35471384627,25300.58867846157,0.6,T,H,Lose,28,20
48,48,75901.7660353847,18975.441508846176,0.6,T,H,Lose,29,20
49,49,56926.32452653853,14231.581131634632,0.6,T,T,Win,29,21
50,50,71157.90565817316,17789.47641454329,0.6,T,T,Win,29,22
