,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,1000.0,1.0,H,H,Win,1,0
1,1,11000.0,1100.0,1.0,H,H,Win,2,0
2,2,12100.0,1210.0,1.0,T,H,Lose,3,0
3,3,10890.0,1089.0,1.0,T,H,Lose,4,0
4,4,9801.0,980.1,0.8,T,T,Win,4,1
5,5,10781.1,1078.1100000000001,0.8,T,H,Lose,5,1
6,6,9702.99,970.299,0.9,T,H,Lose,6,1
7,7,8732.690999999999,873.2691,0.9,T,H,Lose,7,1
8,8,7859.421899999999,785.94219,0.8,T,T,Win,7,2
9,9,8645.36409,864.5364089999999,0.8,T,H,Lose,8,2
10,10,7780.827680999999,778.0827681,0.7,T,T,Win,8,3
11,11,8558.910449099998,855.8910449099999,0.7,T,T,Win,8,4
12,12,9414.801494009998,941.4801494009998,0.6,T,T,Win,8,5
13,13,10356.281643411,1035.6281643411,0.6,T,T,Win,8,6
14,14,11391.9098077521,1139.19098077521,0.6,H,H,Win,9,6
15,15,12531.10078852731,1253.110078852731,0.6,T,T,Win,9,7
16,16,13784.210867380041,1378.4210867380043,0.5,H,T,Lose,9,8
17,17,12405.789780642037,1240.5789780642037,0.6,H,H,Win,10,8
18,18,13646.368758706241,1364.6368758706242,0.6,H,H,Win,11,8
19,19,15011.005634576866,1501.1005634576868,0.6,T,T,Win,11,9
20,20,16512.106198034555,1651.2106198034555,0.6,H,H,Win,12,9
21,21,18163.31681783801,1816.3316817838013,0.6,H,H,Win,13,9
22,22,19979.648499621813,1997.9648499621815,0.6,T,T,Win,13,10
23,23,21977.613349583993,2197.7613349583994,0.5,H,T,Lose,13,11
24,24,19779.852014625594,1977.9852014625594,0.5,H,T,Lose,13,12
25,25,17801.866813163033,1780.1866813163033,0.5,H,T,Lose,13,13
26,26,16021.68013184673,1602.168013184673,0.5,H,T,Lose,13,14
27,27,14419.512118662056,1441.9512118662058,0.5,H,H,Win,14,14
28,28,15861.463330528262,1586.1463330528263,0.5,H,H,Win,15,14
29,29,17447.60966358109,1744.760966358109,0.5,H,H,Win,16,14
30,30,19192.3706299392,1919.23706299392,0.5,H,H,Win,17,14
31,31,21111.60769293312,2111.160769293312,0.6,H,H,Win,18,14
32,32,23222.768462226435,2322.2768462226436,0.5,H,T,Lose,18,15
33,33,20900.49161600379,2090.049161600379,0.6,H,H,Win,19,15
34,34,22990.54077760417,2299.054077760417,0.6,H,H,Win,20,15
35,35,25289.594855364587,2528.959485536459,0.6,T,H,Lose,21,15
36,36,22760.635369828127,2276.063536982813,0.6,T,H,Lose,22,15
37,37,20484.571832845315,2048.4571832845318,0.6,T,T,Win,22,16
38,38,22533.029016129847,2253.302901612985,0.6,T,H,Lose,23,16
39,39,20279.726114516863,2027.9726114516864,0.6,T,T,Win,23,17
40,40,22307.69872596855,2230.769872596855,0.6,T,H,Lose,24,17
41,41,20076.928853371694,2007.6928853371694,0.6,T,T,Win,24,18
42,42,22084.62173870886,2208.462173870886,0.6,T,T,Win,24,19
43,43,24293.083912579747,2429.3083912579746,0.6,H,H,Win,25,19
44,44,26722.39230383772,2672.2392303837723,0.6,T,H,Lose,26,19
45,45,24050.15307345395,2405.015307345395,0.6,T,H,Lose,27,19
46,46,21645.137766108553,2164.5137766108555,0.6,T,T,Win,27,20
47,47,23809.65154271941,2380.965154271941,0.6,T,H,Lose,28,20
48,48,21428.68638844747,2142.8686388447472,0.6,T,T,Win,28,21
49,49,23571.555027292216,2357.1555027292216,0.6,T,T,Win,28,22
50,50,25928.71053002144,2592.871053002144,0.5,H,T,Lose,28,23
