,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,100.0,0.0,H,T,Lose,0,1
1,1,9900.0,99.0,0.5,H,H,Win,1,1
2,2,9999.0,99.99000000000001,0.3,H,T,Lose,1,2
3,3,9899.01,98.9901,0.2,H,T,Lose,1,3
4,4,9800.0199,98.000199,0.2,H,T,Lose,1,4
5,5,9702.019701,97.02019700999999,0.3,H,H,Win,2,4
6,6,9799.03989801,97.9903989801,0.4,H,H,Win,3,4
7,7,9897.0302969901,98.97030296990101,0.5,H,H,Win,4,4
8,8,9996.000599960002,99.96000599960001,0.6,H,H,Win,5,4
9,9,10095.9606059596,100.95960605959601,0.6,H,H,Win,6,4
10,10,10196.920212019197,101.96920212019197,0.5,H,T,Lose,6,5
11,11,10094.951009899005,100.94951009899005,0.5,H,T,Lose,6,6
12,12,9994.001499800015,99.94001499800015,0.5,H,H,Win,7,6
13,13,10093.941514798014,100.93941514798014,0.5,H,T,Lose,7,7
14,14,9993.002099650033,99.93002099650033,0.5,H,H,Win,8,7
15,15,10092.932120646534,100.92932120646535,0.5,H,T,Lose,8,8
16,16,9992.002799440068,99.92002799440068,0.5,H,T,Lose,8,9
17,17,9892.082771445668,98.92082771445668,0.5,H,H,Win,9,9
18,18,9991.003599160125,99.91003599160126,0.5,H,H,Win,10,9
19,19,10090.913635151726,100.90913635151726,0.6,H,H,Win,11,9
20,20,10191.822771503244,101.91822771503244,0.5,H,T,Lose,11,10
21,21,10089.904543788212,100.89904543788212,0.5,H,H,Win,12,10
22,22,10190.803589226094,101.90803589226094,0.6,H,H,Win,13,10
23,23,10292.711625118354,102.92711625118355,0.5,H,T,Lose,13,11
24,24,10189.784508867171,101.89784508867172,0.6,H,H,Win,14,11
25,25,10291.682353955843,102.91682353955844,0.6,H,H,Win,15,11
26,26,10394.599177495402,103.94599177495402,0.6,T,H,Lose,16,11
27,27,10290.653185720448,102.90653185720448,0.6,T,H,Lose,17,11
28,28,10187.746653863243,101.87746653863243,0.6,T,H,Lose,18,11
29,29,10085.869187324612,100.85869187324612,0.6,T,T,Win,18,12
30,30,10186.727879197857,101.86727879197858,0.6,T,H,Lose,19,12
31,31,10084.860600405878,100.84860600405878,0.6,T,H,Lose,20,12
32,32,9984.011994401819,99.84011994401818,0.6,T,T,Win,20,13
33,33,10083.852114345837,100.83852114345837,0.6,T,H,Lose,21,13
34,34,9983.013593202379,99.8301359320238,0.6,T,T,Win,21,14
35,35,10082.843729134402,100.82843729134402,0.6,T,H,Lose,22,14
36,36,9982.015291843058,99.82015291843058,0.6,T,T,Win,22,15
37,37,10081.835444761487,100.81835444761488,0.6,T,T,Win,22,16
38,38,10182.653799209102,101.82653799209102,0.6,T,H,Lose,23,16
39,39,10080.827261217011,100.80827261217011,0.6,T,T,Win,23,17
40,40,10181.635533829181,101.81635533829181,0.6,T,H,Lose,24,17
41,41,10079.81917849089,100.79819178490891,0.6,T,H,Lose,25,17
42,42,9979.020986705982,99.79020986705983,0.6,T,H,Lose,26,17
43,43,9879.230776838922,98.79230776838922,0.6,T,H,Lose,27,17
44,44,9780.438469070532,97.80438469070532,0.6,T,T,Win,27,18
45,45,9878.242853761238,98.78242853761238,0.6,T,T,Win,27,19
46,46,9977.02528229885,99.7702528229885,0.6,T,T,Win,27,20
47,47,10076.795535121839,100.76795535121839,0.6,T,T,Win,27,21
48,48,10177.563490473058,101.77563490473058,0.6,T,H,Lose,28,21
49,49,10075.787855568327,100.75787855568328,0.6,T,H,Lose,29,21
50,50,9975.029977012644,99.75029977012645,0.6,T,T,Win,29,22
51,51,10074.78027678277,100.74780276782771,0.6,T,T,Win,29,23
52,52,10175.528079550599,101.755280795506,0.6,H,H,Win,30,23
53,53,10277.283360346104,102.77283360346104,0.6,T,H,Lose,31,23
54,54,10174.510526742642,101.74510526742642,0.6,T,T,Win,31,24
55,55,10276.255632010068,102.76255632010069,0.6,T,H,Lose,32,24
