,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,2500.0,0.0,H,T,Lose,0,1
1,1,7500.0,1875.0,0.0,H,T,Lose,0,2
2,2,5625.0,1406.25,0.3,H,H,Win,1,2
3,3,7031.25,1757.8125,0.2,H,T,Lose,1,3
4,4,5273.4375,1318.359375,0.4,H,H,Win,2,3
5,5,6591.796875,1647.94921875,0.5,H,H,Win,3,3
6,6,8239.74609375,2059.9365234375,0.4,H,T,Lose,3,4
7,7,6179.8095703125,1544.952392578125,0.4,H,T,Lose,3,5
8,8,4634.857177734375,1158.7142944335938,0.3,H,T,Lose,3,6
9,9,3476.1428833007812,869.0357208251953,0.4,H,H,Win,4,6
10,10,4345.178604125977,1086.2946510314941,0.5,H,H,Win,5,6
11,11,5431.473255157471,1357.8683137893677,0.5,H,H,Win,6,6
12,12,6789.341568946838,1697.3353922367096,0.5,H,T,Lose,6,7
13,13,5092.006176710129,1273.0015441775322,0.4,H,T,Lose,6,8
14,14,3819.0046325325966,954.7511581331491,0.5,H,H,Win,7,8
15,15,4773.755790665746,1193.4389476664364,0.4,H,T,Lose,7,9
16,16,3580.3168429993093,895.0792107498273,0.4,H,T,Lose,7,10
17,17,2685.237632249482,671.3094080623705,0.4,H,T,Lose,7,11
18,18,2013.9282241871115,503.48205604677787,0.4,H,T,Lose,7,12
19,19,1510.4461681403336,377.6115420350834,0.3,H,T,Lose,7,13
20,20,1132.8346261052502,283.20865652631255,0.4,H,H,Win,8,13
21,21,1416.0432826315628,354.0108206578907,0.4,H,T,Lose,8,14
22,22,1062.032461973672,265.508115493418,0.4,H,H,Win,9,14
23,23,1327.54057746709,331.8851443667725,0.4,H,T,Lose,9,15
24,24,995.6554331003176,248.9138582750794,0.4,H,T,Lose,9,16
25,25,746.7415748252382,186.68539370630955,0.4,H,H,Win,10,16
26,26,933.4269685315478,233.35674213288695,0.4,H,H,Win,11,16
27,27,1166.7837106644347,291.6959276661087,0.4,H,T,Lose,11,17
28,28,875.087782998326,218.7719457495815,0.4,H,T,Lose,11,18
29,29,656.3158372487445,164.07895931218613,0.4,H,H,Win,12,18
30,30,820.3947965609307,205.09869914023267,0.4,H,H,Win,13,18
31,31,1025.4934957011633,256.3733739252908,0.4,H,H,Win,14,18
32,32,1281.866869626454,320.4667174066135,0.4,H,T,Lose,14,19
33,33,961.4001522198405,240.35003805496012,0.4,H,T,Lose,14,20
34,34,721.0501141648804,180.2625285412201,0.4,H,T,Lose,14,21
35,35,540.7875856236603,135.19689640591508,0.4,H,H,Win,15,21
36,36,675.9844820295755,168.99612050739387,0.4,H,H,Win,16,21
37,37,844.9806025369694,211.24515063424235,0.4,H,T,Lose,16,22
38,38,633.735451902727,158.43386297568176,0.4,H,T,Lose,16,23
39,39,475.30158892704526,118.82539723176131,0.4,H,T,Lose,16,24
40,40,356.47619169528394,89.11904792382099,0.4,H,H,Win,17,24
41,41,445.5952396191049,111.39880990477623,0.4,H,H,Win,18,24
42,42,556.9940495238811,139.24851238097028,0.4,H,T,Lose,18,25
43,43,417.74553714291085,104.43638428572771,0.4,H,H,Win,19,25
44,44,522.1819214286386,130.54548035715965,0.4,H,T,Lose,19,26
45,45,391.63644107147894,97.90911026786974,0.4,H,H,Win,20,26
46,46,489.54555133934866,122.38638783483717,0.4,H,T,Lose,20,27
47,47,367.1591635045115,91.78979087612788,0.4,H,T,Lose,20,28
48,48,275.36937262838364,68.84234315709591,0.4,H,T,Lose,20,29
49,49,206.52702947128773,51.63175736782193,0.4,H,T,Lose,20,30
50,50,154.8952721034658,38.72381802586645,0.4,H,H,Win,21,30
51,51,193.61909012933225,48.40477253233306,0.4,H,H,Win,22,30
52,52,242.0238626616653,60.505965665416326,0.4,H,H,Win,23,30
53,53,302.52982832708165,75.63245708177041,0.4,H,H,Win,24,30
54,54,378.1622854088521,94.54057135221302,0.5,H,H,Win,25,30
55,55,472.7028567610651,118.17571419026628,0.4,H,T,Lose,25,31
56,56,354.52714257079884,88.63178564269971,0.5,H,H,Win,26,31
57,57,443.15892821349854,110.78973205337464,0.4,H,T,Lose,26,32
58,58,332.3691961601239,83.09229904003098,0.4,H,T,Lose,26,33
59,59,249.27689712009294,62.319224280023235,0.4,H,T,Lose,26,34
60,60,186.9576728400697,46.739418210017426,0.4,H,T,Lose,26,35
61,61,140.2182546300523,35.05456365751307,0.4,H,T,Lose,26,36
62,62,105.16369097253921,26.290922743134804,0.4,H,H,Win,27,36
63,63,131.45461371567401,32.863653428918504,0.4,H,T,Lose,27,37
64,64,98.59096028675552,24.64774007168888,0.4,H,H,Win,28,37
65,65,123.23870035844439,30.809675089611098,0.4,H,T,Lose,28,38
66,66,92.4290252688333,23.107256317208325,0.4,H,H,Win,29,38
67,67,115.53628158604162,28.884070396510406,0.4,H,H,Win,30,38
68,68,144.42035198255203,36.10508799563801,0.4,H,H,Win,31,38
69,69,180.52543997819004,45.13135999454751,0.4,H,T,Lose,31,39
70,70,135.39407998364254,33.848519995910635,0.4,H,T,Lose,31,40
71,71,101.5455599877319,25.386389996932976,0.4,H,T,Lose,31,41
72,72,76.15916999079893,19.039792497699732,0.4,H,H,Win,32,41
73,73,95.19896248849867,23.799740622124666,0.4,H,H,Win,33,41
74,74,118.99870311062332,29.74967577765583,0.5,H,H,Win,34,41
75,75,148.74837888827915,37.18709472206979,0.5,H,H,Win,35,41
76,76,185.93547361034894,46.483868402587234,0.5,H,H,Win,36,41
77,77,232.41934201293617,58.10483550323404,0.5,H,T,Lose,36,42
78,78,174.31450650970214,43.578626627425535,0.5,H,H,Win,37,42
79,79,217.89313313712768,54.47328328428192,0.5,H,T,Lose,37,43
80,80,163.41984985284574,40.854962463211436,0.5,H,T,Lose,37,44
81,81,122.56488738963431,30.641221847408577,0.5,H,T,Lose,37,45
82,82,91.92366554222573,22.980916385556434,0.5,H,H,Win,38,45
83,83,114.90458192778217,28.726145481945544,0.5,H,T,Lose,38,46
84,84,86.17843644583664,21.54460911145916,0.4,H,T,Lose,38,47
85,85,64.63382733437749,16.15845683359437,0.5,H,H,Win,39,47
86,86,80.79228416797186,20.198071041992964,0.5,H,H,Win,40,47
87,87,100.99035520996482,25.247588802491205,0.5,H,T,Lose,40,48
88,88,75.74276640747361,18.935691601868403,0.5,H,H,Win,41,48
89,89,94.67845800934201,23.669614502335502,0.5,H,H,Win,42,48
90,90,118.34807251167751,29.58701812791938,0.5,H,H,Win,43,48
91,91,147.9350906395969,36.98377265989922,0.5,H,H,Win,44,48
92,92,184.9188632994961,46.22971582487403,0.5,H,T,Lose,44,49
93,93,138.68914747462208,34.67228686865552,0.5,H,H,Win,45,49
94,94,173.3614343432776,43.3403585858194,0.5,H,T,Lose,45,50
95,95,130.02107575745822,32.505268939364555,0.5,H,H,Win,46,50
96,96,162.52634469682278,40.631586174205694,0.5,H,H,Win,47,50
97,97,203.15793087102847,50.78948271775712,0.5,H,H,Win,48,50
98,98,253.9474135887856,63.4868533971964,0.5,H,T,Lose,48,51
99,99,190.4605601915892,47.6151400478973,0.5,H,T,Lose,48,52
100,100,142.8454201436919,35.71135503592298,0.5,H,H,Win,49,52
