,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,5000.0,1.0,H,H,Win,1,0
1,1,15000.0,7500.0,1.0,H,H,Win,2,0
2,2,22500.0,11250.0,0.7,T,T,Win,2,1
3,3,33750.0,16875.0,0.5,H,T,Lose,2,2
4,4,16875.0,8437.5,0.4,H,T,Lose,2,3
5,5,8437.5,4218.75,0.3,H,T,Lose,2,4
6,6,4218.75,2109.375,0.4,H,H,Win,3,4
7,7,6328.125,3164.0625,0.5,H,H,Win,4,4
8,8,9492.1875,4746.09375,0.6,H,H,Win,5,4
9,9,14238.28125,7119.140625,0.5,H,T,Lose,5,5
10,10,7119.140625,3559.5703125,0.5,H,H,Win,6,5
11,11,10678.7109375,5339.35546875,0.6,H,H,Win,7,5
12,12,16018.06640625,8009.033203125,0.6,H,H,Win,8,5
13,13,24027.099609375,12013.5498046875,0.6,T,H,Lose,9,5
14,14,12013.5498046875,6006.77490234375,0.7,T,H,Lose,10,5
15,15,6006.77490234375,3003.387451171875,0.7,T,H,Lose,11,5
16,16,3003.387451171875,1501.6937255859375,0.6,T,T,Win,11,6
17,17,4505.0811767578125,2252.5405883789062,0.6,T,T,Win,11,7
18,18,6757.621765136719,3378.8108825683594,0.6,T,H,Lose,12,7
19,19,3378.8108825683594,1689.4054412841797,0.7,T,H,Lose,13,7
20,20,1689.4054412841797,844.7027206420898,0.6,T,T,Win,13,8
21,21,2534.1081619262695,1267.0540809631348,0.6,T,H,Lose,14,8
22,22,1267.0540809631348,633.5270404815674,0.6,T,T,Win,14,9
23,23,1900.5811214447021,950.2905607223511,0.6,T,T,Win,14,10
24,24,2850.871682167053,1425.4358410835266,0.6,T,H,Lose,15,10
25,25,1425.4358410835266,712.7179205417633,0.6,T,T,Win,15,11
26,26,2138.15376162529,1069.076880812645,0.6,T,H,Lose,16,11
27,27,1069.076880812645,534.5384404063225,0.6,T,T,Win,16,12
28,28,1603.6153212189674,801.8076606094837,0.6,T,T,Win,16,13
29,29,2405.422981828451,1202.7114909142256,0.5,H,T,Lose,16,14
30,30,1202.7114909142256,601.3557454571128,0.5,H,H,Win,17,14
31,31,1804.0672363713384,902.0336181856692,0.5,H,T,Lose,17,15
32,32,902.0336181856692,451.0168090928346,0.5,H,H,Win,18,15
33,33,1353.0504272785038,676.5252136392519,0.6,H,H,Win,19,15
34,34,2029.5756409177557,1014.7878204588778,0.6,H,H,Win,20,15
35,35,3044.3634613766335,1522.1817306883167,0.6,T,H,Lose,21,15
