,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,100.0,1.0,H,H,Win,1,0
1,1,10100.0,101.0,1.0,H,H,Win,2,0
2,2,10201.0,102.01,1.0,T,H,Lose,3,0
3,3,10098.99,100.9899,1.0,T,H,Lose,4,0
4,4,9998.0001,99.980001,0.8,T,T,Win,4,1
5,5,10097.980101,100.97980100999999,0.7,T,T,Win,4,2
6,6,10198.95990201,101.9895990201,0.6,T,T,Win,4,3
7,7,10300.9495010301,103.009495010301,0.5,H,T,Lose,4,4
8,8,10197.940006019799,101.97940006019799,0.4,H,T,Lose,4,5
9,9,10095.9606059596,100.95960605959601,0.5,H,H,Win,5,5
10,10,10196.920212019197,101.96920212019197,0.5,H,H,Win,6,5
11,11,10298.889414139388,102.98889414139389,0.5,H,T,Lose,6,6
12,12,10195.900519997995,101.95900519997996,0.5,H,T,Lose,6,7
13,13,10093.941514798014,100.93941514798014,0.5,H,H,Win,7,7
14,14,10194.880929945995,101.94880929945995,0.5,H,H,Win,8,7
15,15,10296.829739245455,102.96829739245456,0.6,H,H,Win,9,7
16,16,10399.798036637909,103.9979803663791,0.5,H,T,Lose,9,8
17,17,10295.80005627153,102.9580005627153,0.5,H,T,Lose,9,9
18,18,10192.842055708814,101.92842055708815,0.5,H,H,Win,10,9
19,19,10294.770476265901,102.94770476265901,0.5,H,T,Lose,10,10
20,20,10191.822771503243,101.91822771503243,0.5,H,T,Lose,10,11
21,21,10089.90454378821,100.89904543788211,0.5,H,H,Win,11,11
22,22,10190.803589226092,101.90803589226093,0.5,H,H,Win,12,11
23,23,10292.711625118352,102.92711625118352,0.5,H,H,Win,13,11
24,24,10395.638741369536,103.95638741369535,0.5,H,T,Lose,13,12
25,25,10291.68235395584,102.91682353955841,0.5,H,T,Lose,13,13
26,26,10188.765530416282,101.88765530416282,0.5,H,H,Win,14,13
27,27,10290.653185720445,102.90653185720444,0.5,H,T,Lose,14,14
28,28,10187.74665386324,101.8774665386324,0.5,H,T,Lose,14,15
29,29,10085.869187324608,100.85869187324609,0.5,H,H,Win,15,15
30,30,10186.727879197853,101.86727879197853,0.5,H,H,Win,16,15
31,31,10288.595157989832,102.88595157989832,0.5,H,H,Win,17,15
32,32,10391.48110956973,103.9148110956973,0.5,H,T,Lose,17,16
33,33,10287.566298474032,102.87566298474032,0.5,H,H,Win,18,16
34,34,10390.441961458773,103.90441961458774,0.5,H,H,Win,19,16
35,35,10494.346381073361,104.94346381073362,0.5,H,T,Lose,19,17
36,36,10389.402917262627,103.89402917262628,0.5,H,H,Win,20,17
37,37,10493.296946435254,104.93296946435254,0.6,H,H,Win,21,17
38,38,10598.229915899607,105.98229915899607,0.5,H,T,Lose,21,18
39,39,10492.247616740611,104.92247616740612,0.5,H,T,Lose,21,19
40,40,10387.325140573204,103.87325140573205,0.5,H,H,Win,22,19
41,41,10491.198391978936,104.91198391978936,0.5,H,T,Lose,22,20
42,42,10386.286408059146,103.86286408059146,0.5,H,H,Win,23,20
43,43,10490.149272139737,104.90149272139737,0.5,H,T,Lose,23,21
44,44,10385.24777941834,103.8524777941834,0.5,H,T,Lose,23,22
45,45,10281.395301624156,102.81395301624156,0.5,H,H,Win,24,22
46,46,10384.209254640396,103.84209254640396,0.5,H,H,Win,25,22
47,47,10488.0513471868,104.880513471868,0.5,H,H,Win,26,22
48,48,10592.931860658668,105.92931860658668,0.6,H,H,Win,27,22
49,49,10698.861179265254,106.98861179265253,0.5,H,T,Lose,27,23
50,50,10591.872567472601,105.91872567472602,0.5,H,H,Win,28,23
