,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,1000.0,1.0,H,H,Win,1,0
1,1,11000.0,1100.0,1.0,H,H,Win,2,0
2,2,12100.0,1210.0,0.7,T,T,Win,2,1
3,3,13310.0,1331.0,0.5,H,T,Lose,2,2
4,4,11979.0,1197.9,0.6,H,H,Win,3,2
5,5,13176.9,1317.69,0.7,H,H,Win,4,2
6,6,14494.59,1449.459,0.6,T,T,Win,4,3
7,7,15944.049,1594.4049000000002,0.5,H,T,Lose,4,4
8,8,14349.644100000001,1434.9644100000003,0.4,H,T,Lose,4,5
9,9,12914.67969,1291.4679690000003,0.4,H,T,Lose,4,6
10,10,11623.211721,1162.3211721,0.5,H,H,Win,5,6
11,11,12785.5328931,1278.55328931,0.5,H,H,Win,6,6
12,12,14064.086182410001,1406.408618241,0.5,H,T,Lose,6,7
13,13,12657.677564169,1265.7677564169,0.4,H,T,Lose,6,8
14,14,11391.9098077521,1139.19098077521,0.4,H,T,Lose,6,9
15,15,10252.718826976889,1025.2718826976889,0.4,H,H,Win,7,9
16,16,11277.990709674577,1127.7990709674577,0.5,H,H,Win,8,9
17,17,12405.789780642035,1240.5789780642035,0.5,H,H,Win,9,9
18,18,13646.368758706238,1364.636875870624,0.5,H,T,Lose,9,10
19,19,12281.731882835615,1228.1731882835616,0.5,H,T,Lose,9,11
20,20,11053.558694552054,1105.3558694552055,0.5,H,H,Win,10,11
21,21,12158.914564007258,1215.891456400726,0.5,H,T,Lose,10,12
22,22,10943.023107606532,1094.3023107606532,0.5,H,H,Win,11,12
23,23,12037.325418367185,1203.7325418367186,0.5,H,T,Lose,11,13
24,24,10833.592876530467,1083.3592876530467,0.5,H,H,Win,12,13
25,25,11916.952164183514,1191.6952164183515,0.5,H,H,Win,13,13
26,26,13108.647380601866,1310.8647380601867,0.5,H,T,Lose,13,14
27,27,11797.782642541679,1179.7782642541679,0.5,H,T,Lose,13,15
28,28,10618.004378287511,1061.8004378287512,0.4,H,T,Lose,13,16
29,29,9556.20394045876,955.620394045876,0.5,H,H,Win,14,16
30,30,10511.824334504636,1051.1824334504636,0.5,H,T,Lose,14,17
31,31,9460.641901054172,946.0641901054173,0.5,H,H,Win,15,17
32,32,10406.706091159589,1040.670609115959,0.5,H,H,Win,16,17
33,33,11447.376700275549,1144.737670027555,0.5,H,H,Win,17,17
34,34,12592.114370303103,1259.2114370303104,0.5,H,T,Lose,17,18
35,35,11332.902933272793,1133.2902933272794,0.5,H,T,Lose,17,19
36,36,10199.612639945513,1019.9612639945514,0.5,H,H,Win,18,19
37,37,11219.573903940065,1121.9573903940066,0.5,H,T,Lose,18,20
38,38,10097.616513546058,1009.7616513546059,0.5,H,T,Lose,18,21
39,39,9087.854862191452,908.7854862191452,0.5,H,H,Win,19,21
40,40,9996.640348410598,999.6640348410598,0.5,H,H,Win,20,21
41,41,10996.304383251658,1099.6304383251659,0.5,H,H,Win,21,21
42,42,12095.934821576824,1209.5934821576825,0.5,H,H,Win,22,21
43,43,13305.528303734507,1330.552830373451,0.5,H,T,Lose,22,22
44,44,11974.975473361057,1197.4975473361058,0.5,H,H,Win,23,22
45,45,13172.473020697164,1317.2473020697164,0.5,H,T,Lose,23,23
46,46,11855.225718627447,1185.5225718627448,0.5,H,T,Lose,23,24
47,47,10669.703146764703,1066.9703146764703,0.5,H,T,Lose,23,25
48,48,9602.732832088233,960.2732832088234,0.5,H,H,Win,24,25
49,49,10563.006115297057,1056.3006115297057,0.5,H,T,Lose,24,26
50,50,9506.705503767353,950.6705503767353,0.5,H,T,Lose,24,27
51,51,8556.034953390617,855.6034953390617,0.5,H,H,Win,25,27
52,52,9411.638448729678,941.1638448729678,0.5,H,H,Win,26,27
53,53,10352.802293602646,1035.2802293602647,0.5,H,T,Lose,26,28
54,54,9317.522064242381,931.7522064242381,0.5,H,H,Win,27,28
55,55,10249.27427066662,1024.927427066662,0.5,H,H,Win,28,28
56,56,11274.201697733282,1127.4201697733283,0.5,H,T,Lose,28,29
57,57,10146.781527959954,1014.6781527959955,0.5,H,H,Win,29,29
58,58,11161.45968075595,1116.145968075595,0.5,H,T,Lose,29,30
59,59,10045.313712680356,1004.5313712680356,0.5,H,T,Lose,29,31
60,60,9040.78234141232,904.078234141232,0.5,H,T,Lose,29,32
61,61,8136.704107271087,813.6704107271088,0.5,H,T,Lose,29,33
62,62,7323.033696543978,732.3033696543979,0.5,H,H,Win,30,33
63,63,8055.337066198376,805.5337066198376,0.5,H,T,Lose,30,34
64,64,7249.803359578538,724.9803359578539,0.5,H,H,Win,31,34
65,65,7974.783695536392,797.4783695536393,0.5,H,T,Lose,31,35
66,66,7177.305325982753,717.7305325982753,0.5,H,T,Lose,31,36
67,67,6459.574793384478,645.9574793384478,0.5,H,T,Lose,31,37
68,68,5813.61731404603,581.361731404603,0.4,H,T,Lose,31,38
69,69,5232.255582641426,523.2255582641427,0.4,H,T,Lose,31,39
70,70,4709.030024377284,470.9030024377284,0.4,H,T,Lose,31,40
71,71,4238.127021939556,423.8127021939556,0.4,H,H,Win,32,40
72,72,4661.939724133511,466.1939724133511,0.4,H,T,Lose,32,41
73,73,4195.74575172016,419.574575172016,0.4,H,T,Lose,32,42
74,74,3776.171176548144,377.6171176548144,0.4,H,H,Win,33,42
75,75,4153.788294202958,415.37882942029586,0.4,H,T,Lose,33,43
76,76,3738.4094647826623,373.84094647826623,0.4,H,T,Lose,33,44
77,77,3364.568518304396,336.45685183043963,0.4,H,H,Win,34,44
78,78,3701.0253701348356,370.1025370134836,0.4,H,H,Win,35,44
79,79,4071.127907148319,407.11279071483193,0.5,H,H,Win,36,44
80,80,4478.240697863151,447.8240697863151,0.5,H,H,Win,37,44
81,81,4926.0647676494655,492.6064767649466,0.5,H,H,Win,38,44
82,82,5418.671244414412,541.8671244414412,0.5,H,H,Win,39,44
83,83,5960.538368855853,596.0538368855854,0.5,H,H,Win,40,44
84,84,6556.592205741438,655.6592205741439,0.5,H,T,Lose,40,45
85,85,5900.932985167295,590.0932985167295,0.5,H,H,Win,41,45
86,86,6491.026283684024,649.1026283684024,0.5,H,T,Lose,41,46
87,87,5841.9236553156215,584.1923655315621,0.5,H,T,Lose,41,47
88,88,5257.731289784059,525.7731289784059,0.5,H,H,Win,42,47
89,89,5783.504418762465,578.3504418762466,0.5,H,T,Lose,42,48
90,90,5205.1539768862185,520.5153976886219,0.5,H,H,Win,43,48
91,91,5725.669374574841,572.5669374574841,0.5,H,T,Lose,43,49
92,92,5153.102437117357,515.3102437117358,0.5,H,H,Win,44,49
93,93,5668.412680829093,566.8412680829093,0.5,H,T,Lose,44,50
94,94,5101.571412746183,510.15714127461837,0.5,H,T,Lose,44,51
95,95,4591.414271471565,459.14142714715655,0.5,H,T,Lose,44,52
96,96,4132.272844324409,413.2272844324409,0.5,H,H,Win,45,52
97,97,4545.500128756849,454.55001287568496,0.5,H,T,Lose,45,53
98,98,4090.9501158811645,409.09501158811645,0.5,H,T,Lose,45,54
99,99,3681.855104293048,368.1855104293048,0.5,H,H,Win,46,54
100,100,4050.040614722353,405.0040614722353,0.5,H,T,Lose,46,55
