,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,7500.0,1.0,H,H,Win,1,0
1,1,17500.0,13125.0,1.0,H,H,Win,2,0
2,2,30625.0,22968.75,0.7,T,T,Win,2,1
3,3,53593.75,40195.3125,0.8,H,H,Win,3,1
4,4,93789.0625,70341.796875,0.8,T,H,Lose,4,1
5,5,23447.265625,17585.44921875,0.7,T,T,Win,4,2
6,6,41032.71484375,30774.5361328125,0.7,T,H,Lose,5,2
7,7,10258.1787109375,7693.634033203125,0.8,T,H,Lose,6,2
8,8,2564.544677734375,1923.4085083007812,0.8,T,H,Lose,7,2
9,9,641.1361694335938,480.8521270751953,0.8,T,H,Lose,8,2
10,10,160.28404235839844,120.21303176879883,0.8,T,H,Lose,9,2
11,11,40.07101058959961,30.053257942199707,0.8,T,T,Win,9,3
12,12,70.12426853179932,52.59320139884949,0.8,T,H,Lose,10,3
13,13,17.53106713294983,13.148300349712372,0.7,T,T,Win,10,4
14,14,30.6793674826622,23.00952561199665,0.7,T,T,Win,10,5
15,15,53.68889309465885,40.26666982099414,0.7,T,H,Lose,11,5
16,16,13.422223273664713,10.066667455248535,0.7,T,H,Lose,12,5
17,17,3.3555558184161782,2.5166668638121337,0.7,T,T,Win,12,6
18,18,5.872222682228312,4.404167011671234,0.7,T,H,Lose,13,6
19,19,1.468055670557078,1.1010417529178085,0.7,T,H,Lose,14,6
20,20,0.3670139176392695,0.2752604382294521,0.7,T,H,Lose,15,6
21,21,0.09175347940981737,0.06881510955736303,0.7,T,H,Lose,16,6
22,22,0.022938369852454343,0.017203777389340758,0.7,T,H,Lose,17,6
23,23,0.005734592463113586,0.004300944347335189,0.8,T,H,Lose,18,6
24,24,0.0014336481157783965,0.0010752360868337973,0.8,T,H,Lose,19,6
25,25,0.0003584120289445991,0.00026880902170844934,0.8,T,H,Lose,20,6
26,26,8.960300723614978e-05,6.720225542711233e-05,0.7,T,T,Win,20,7
27,27,0.0001568052626632621,0.00011760394699744658,0.7,T,T,Win,20,8
28,28,0.0002744092096607087,0.00020580690724553152,0.7,T,H,Lose,21,8
29,29,6.860230241517717e-05,5.145172681138288e-05,0.7,T,H,Lose,22,8
30,30,1.7150575603794294e-05,1.286293170284572e-05,0.7,T,H,Lose,23,8
31,31,4.287643900948573e-06,3.21573292571143e-06,0.8,T,H,Lose,24,8
32,32,1.0719109752371433e-06,8.039332314278575e-07,0.7,T,T,Win,24,9
33,33,1.8758442066650009e-06,1.4068831549987506e-06,0.7,T,H,Lose,25,9
34,34,4.689610516662502e-07,3.5172078874968766e-07,0.7,T,T,Win,25,10
35,35,8.206818404159379e-07,6.155113803119534e-07,0.7,T,H,Lose,26,10
36,36,2.0517046010398447e-07,1.5387784507798835e-07,0.7,T,T,Win,26,11
37,37,3.590483051819728e-07,2.692862288864796e-07,0.7,T,T,Win,26,12
38,38,6.283345340684524e-07,4.7125090055133933e-07,0.7,T,H,Lose,27,12
39,39,1.570836335171131e-07,1.1781272513783483e-07,0.7,T,H,Lose,28,12
40,40,3.927090837927828e-08,2.9453181284458708e-08,0.7,T,T,Win,28,13
41,41,6.872408966373698e-08,5.1543067247802736e-08,0.7,T,H,Lose,29,13
42,42,1.7181022415934245e-08,1.2885766811950684e-08,0.7,T,H,Lose,30,13
43,43,4.295255603983561e-09,3.221441702987671e-09,0.7,T,H,Lose,31,13
44,44,1.0738139009958903e-09,8.053604257469178e-10,0.7,T,H,Lose,32,13
45,45,2.684534752489726e-10,2.0134010643672944e-10,0.7,T,H,Lose,33,13
46,46,6.711336881224315e-11,5.033502660918236e-11,0.7,T,H,Lose,34,13
47,47,1.6778342203060787e-11,1.258375665229559e-11,0.7,T,H,Lose,35,13
48,48,4.194585550765197e-12,3.1459391630738975e-12,0.7,T,H,Lose,36,13
49,49,1.0486463876912992e-12,7.864847907684744e-13,0.7,T,T,Win,36,14
50,50,1.8351311784597733e-12,1.37634838384483e-12,0.7,T,T,Win,36,15
51,51,3.2114795623046033e-12,2.4086096717284526e-12,0.7,T,T,Win,36,16
52,52,5.620089234033056e-12,4.215066925524792e-12,0.7,T,H,Lose,37,16
53,53,1.405022308508264e-12,1.053766731381198e-12,0.7,T,H,Lose,38,16
54,54,3.51255577127066e-13,2.634416828452995e-13,0.7,T,T,Win,38,17
55,55,6.146972599723655e-13,4.610229449792741e-13,0.7,T,H,Lose,39,17
56,56,1.5367431499309142e-13,1.1525573624481857e-13,0.7,T,H,Lose,40,17
57,57,3.8418578748272856e-14,2.881393406120464e-14,0.7,T,T,Win,40,18
58,58,6.72325128094775e-14,5.0424384607108123e-14,0.7,T,H,Lose,41,18
59,59,1.6808128202369374e-14,1.2606096151777031e-14,0.7,T,T,Win,41,19
60,60,2.941422435414641e-14,2.2060668265609804e-14,0.7,T,T,Win,41,20
61,61,5.147489261975621e-14,3.8606169464817155e-14,0.7,T,H,Lose,42,20
62,62,1.2868723154939056e-14,9.651542366204292e-15,0.7,T,H,Lose,43,20
63,63,3.217180788734764e-15,2.412885591551073e-15,0.7,T,H,Lose,44,20
64,64,8.04295197183691e-16,6.032213978877682e-16,0.7,T,H,Lose,45,20
65,65,2.0107379929592275e-16,1.5080534947194206e-16,0.7,T,T,Win,45,21
66,66,3.518791487678648e-16,2.639093615758986e-16,0.7,T,T,Win,45,22
67,67,6.157885103437635e-16,4.618413827578226e-16,0.7,T,T,Win,45,23
